condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.03101679104477612,0.002647767310904503,0.005189623929372826,0.03101679104477612,0.0026477673109044876,0.005189623929372796,0.03101679104477612,0.0026477673109044876,0.005189623929372796,0.09794776119402986,0.004539796225785866,0.008898000602540297,0.06451736565995056,0.003211816736525694,0.00629516080359036,0.053595304726368156,0.0029251318880491673,0.0057332585005763674,0.1396921641791045,0.0052946373670561386,0.010377489239430032,0.07825160240239937,0.0033042398458383057,0.006476310097843079,0.05940155990878939,0.00293211744230616,0.005746950186920074,0.177705223880597,0.005838309596314728,0.011443086808776867,0.08787575823838849,0.003334037062135107,0.00653471264178481,0.062049682287499464,0.0029269176786486167,0.0057367586501512885
discussion,0.036734693877551024,0.008506614308910379,0.016672964045464343,0.036734693877551024,0.008506614308910426,0.016672964045464433,0.036734693877551024,0.008506614308910426,0.016672964045464433,0.07755102040816327,0.012095129040518005,0.02370645291941529,0.058110173335637984,0.009592346812439019,0.018800999752380476,0.05170068027210884,0.009069586140117948,0.017776388834631177,0.0836734693877551,0.012521737329264275,0.02454260516535798,0.060131745817485614,0.009638243954178475,0.01889095815018981,0.05255911888564949,0.009073422202496967,0.017783907516894053,0.12040816326530612,0.014716825191964534,0.028844977376250486,0.0693827974333662,0.009758683615187277,0.019127019885767062,0.05508067758186226,0.009063103251675156,0.017763682373283306
all,0.031603181247383844,0.0025311300352352803,0.004961014869061149,0.031603181247383844,0.002531130035235418,0.004961014869061419,0.031603181247383844,0.002531130035235418,0.004961014869061419,0.09585600669736291,0.004259423732532823,0.008348470515764332,0.0638602864973484,0.0030454828131771462,0.005969146313827206,0.053401004604437,0.0027847527112462396,0.005458115314042629,0.13394725826705733,0.004927895209656969,0.009658674610927658,0.07639335005275352,0.003126467702986947,0.006127876697854416,0.0586998445255038,0.0027909433293406105,0.005470248925507596,0.17182921724570951,0.005457966147046575,0.010697613648211287,0.08597924279375456,0.0031557719252174694,0.00618531297342624,0.061334987372103446,0.002786197576585347,0.00546094725010728
