condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.03474813432835821,0.0027971086027931496,0.0054823328614745735,0.03474813432835821,0.002797108602793092,0.00548233286147446,0.03474813432835821,0.002797108602793092,0.00548233286147446,0.10587686567164178,0.004699184127509556,0.00921040088991873,0.0702090341641244,0.0033497409310769737,0.006565492224910869,0.05855876865671641,0.0030627814053136157,0.006003051554414687,0.14762126865671643,0.005417688454634886,0.010618669371084376,0.08394619064358673,0.0034332435405904417,0.0067291573395572655,0.06436928082800285,0.003067337687106339,0.006011981866728425,0.17210820895522388,0.005765153020964085,0.011299699921089605,0.0902757867081012,0.0034515354493033596,0.006765009480634585,0.06618002463098828,0.003063600043040074,0.006004656084358545
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.03118459606529929,0.0025148550504874917,0.004929115898955483,0.03118459606529929,0.0025148550504874006,0.004929115898955305,0.03118459606529929,0.0025148550504874006,0.004929115898955305,0.0950188363331938,0.004242745710125614,0.008315781591846204,0.06300886113347957,0.0030219323823323916,0.005922987469371487,0.05255336961071578,0.0027606419696903995,0.005410858260593183,0.1324822101297614,0.004905015187085105,0.009613829766686805,0.07533722592710336,0.0031030704527262964,0.006082018087343541,0.0577679941796727,0.0027672008776620503,0.005423713720217618,0.1544579321892005,0.0052287165277670284,0.010248284394423376,0.08101770058692716,0.003122774411559595,0.006120637846656806,0.05939304010416028,0.002764687936369722,0.005418788355284655
