condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.023809523809523805,0.046666666666666655,0.015022136989796608,0.015022136989796608,0.02944338850000135,0.011904761904761904,0.011904761904761902,0.023333333333333327,0.023809523809523808,0.023809523809523805,0.046666666666666655,0.015022136989796608,0.015022136989796608,0.02944338850000135,0.011904761904761904,0.011904761904761902,0.023333333333333327,0.023809523809523808,0.023809523809523805,0.046666666666666655,0.015022136989796608,0.015022136989796608,0.02944338850000135,0.011904761904761904,0.011904761904761902,0.023333333333333327
all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003952569169960474,0.0039525691699604775,0.007747035573122536,0.0024937934923773023,0.002493793492377303,0.004887835245059514,0.001976284584980237,0.0019762845849802375,0.0038735177865612653,0.003952569169960474,0.0039525691699604775,0.007747035573122536,0.0024937934923773023,0.002493793492377303,0.004887835245059514,0.001976284584980237,0.0019762845849802375,0.0038735177865612653,0.003952569169960474,0.0039525691699604775,0.007747035573122536,0.0024937934923773023,0.002493793492377303,0.004887835245059514,0.001976284584980237,0.0019762845849802375,0.0038735177865612653
