condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004664179104477612,0.00032976879912632835,0.0006463468462876036,0.00026374294626200037,0.00018771874960989935,0.00036792874923540273,0.00019434079601990048,0.00014012605258399783,0.00027464706306463575,0.0023320895522388058,0.0007366969497323882,0.001443926021475481,0.0008536303200849368,0.0002809153543513847,0.0005505940945287139,0.00043041859156597964,0.00016397200157351977,0.0003213851230840987,0.0025652985074626866,0.0007725639684721373,0.0015142253782053892,0.0009133220236320019,0.00028714589336866755,0.0005628059510025884,0.00044707637408197105,0.00016480580725866984,0.00032301938222699286
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004185851820845542,0.0002959534389775869,0.0005800687403960704,0.00023669521841177427,0.00016846952187781844,0.00033020026288052416,0.0001744104925352309,0.00012575704275852306,0.0002464838038067052,0.002092925910422771,0.0006612175275244611,0.001295986353947944,0.0007660876543583527,0.000252131365422108,0.0004941774762273317,0.00038627771465778995,0.0001471664874979575,0.0002884463154959967,0.0023022185014650483,0.0006934180661720752,0.0013590994096972673,0.0008196577725688623,0.0002577262130853271,0.0005051433776472412,0.00040122718544652406,0.00014791566526743295,0.0002899147039241686
