condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014218009478672985,0.008169588695462903,0.01601239384310729,0.0038034902057842925,0.00218950834377053,0.0042914363537902385,0.0011579060749676864,0.0006743901198058666,0.0013218046348194984
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.023809523809523805,0.046666666666666655,0.007167380849142409,0.007167380849142408,0.014048066464319121,0.0026455026455026454,0.002645502645502645,0.005185185185185184,0.07142857142857142,0.040220893312248075,0.07883295089200623,0.01937332215955178,0.010946500691445052,0.021455141355232302,0.006064306064306064,0.0035056532477681446,0.006871080365625564
all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003952569169960474,0.003952569169960479,0.007747035573122539,0.0011898418800947873,0.0011898418800947875,0.0023320900849857834,0.00043917435221783044,0.00043917435221783044,0.0008607817303469477,0.023715415019762844,0.009585247036710851,0.01878708419195327,0.00638820539178522,0.0025886967893027106,0.0050738457070333125,0.001972407258968524,0.0008131683144748473,0.0015938098963707006
