condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.03311567164179104,0.002732922414743311,0.005356527932896889,0.03311567164179104,0.0027329224147433807,0.005356527932897026,0.03311567164179104,0.0027329224147433807,0.005356527932897026,0.10424440298507463,0.004667070880341877,0.00914745892547008,0.06839378889357138,0.0032950272838497083,0.006458253476345428,0.056704757462686564,0.0030027413769917817,0.005885373098903892,0.14692164179104478,0.005407052754738721,0.010597823399287894,0.08245061297786044,0.0033835404483069788,0.006631739278681679,0.06265667569888651,0.003008342841026783,0.0058963519684124945,0.17210820895522388,0.005765153020964085,0.011299699921089605,0.08894578153211921,0.0034030761203779347,0.0066700291959407515,0.06450659473635971,0.0030046556818854953,0.00588912513649557
discussion,0.03469387755102041,0.008275695858705705,0.016220363883063183,0.03469387755102041,0.008275695858705658,0.01622036388306309,0.03469387755102041,0.008275695858705658,0.01622036388306309,0.07755102040816327,0.012095129040518007,0.023706452919415293,0.05726863762477616,0.009454133277848189,0.01853010122458245,0.05054421768707483,0.008886915686285243,0.017418354745119075,0.08571428571428572,0.012659400585639104,0.024812425147852646,0.06003640739438436,0.009520366266712628,0.01865991788275675,0.05175898931000972,0.008893513120567702,0.017431285716312694,0.10612244897959183,0.013927982661782906,0.027298846017094498,0.06512947631446628,0.009588682648118555,0.018793817990312368,0.05312121918364415,0.008887878804088416,0.017420242456013296
all,0.033277521975722056,0.002595068208159238,0.005086333687992106,0.033277521975722056,0.002595068208159163,0.00508633368799196,0.033277521975722056,0.002595068208159163,0.00508633368799196,0.1015069066555044,0.004369457781644494,0.008564137252023209,0.06725286714352749,0.00311207215065094,0.0060996614152758425,0.05607297335007673,0.002844574285143892,0.005575365598882028,0.1406446211804102,0.0050300273096581935,0.00985885352693006,0.08015196066812766,0.0031908589650050207,0.00625408357140984,0.061539081238746365,0.0028498262095919286,0.00558565937080018,0.1653411469233989,0.005374862448302707,0.010534730398673305,0.08650333918037163,0.0032098775808137745,0.006291360058394998,0.06333898610914528,0.002846543661986185,0.0055792255774929226
