condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.037914691943127965,0.013179559946043761,0.025831937494245772,0.037914691943127965,0.013179559946043735,0.02583193749424572,0.037914691943127965,0.013179559946043735,0.02583193749424572,0.07582938388625593,0.01826775567126888,0.035804801115687006,0.056919741376892145,0.01455202929997298,0.02852197742794704,0.050710900473933646,0.013814163558944537,0.027075760575531294,0.11374407582938388,0.021909593576363844,0.04294280340967313,0.069737106736396,0.014992905962478785,0.02938609568645842,0.056337922214699465,0.013858645932427301,0.02716294602755751,0.13270142180094788,0.023410595327447378,0.04588476684179686,0.07478817488297906,0.015090427433659587,0.02957723776997279,0.057856940321395295,0.013849786136109609,0.02714558082677483
discussion,0.023809523809523808,0.023809523809523805,0.046666666666666655,0.023809523809523808,0.023809523809523805,0.046666666666666655,0.023809523809523808,0.023809523809523805,0.046666666666666655,0.14285714285714285,0.054649432548286116,0.10711288779464079,0.08687410272327278,0.035160336197849085,0.0689142589477842,0.06825396825396825,0.03016178642541175,0.05911710139380703,0.19047619047619047,0.06132580154445567,0.1201985710271331,0.10223772209055634,0.03588304220292682,0.07033076271773656,0.0746031746031746,0.030158730158730156,0.05911111111111111,0.2857142857142857,0.07055211404639927,0.13828214353094256,0.12697214385899275,0.0361403648415838,0.07083511508950424,0.08170678527821384,0.02992456778275376,0.05865215285419737
all,0.03557312252964427,0.011667971947923116,0.022869225017929307,0.03557312252964427,0.011667971947923107,0.02286922501792929,0.03557312252964427,0.011667971947923107,0.02286922501792929,0.08695652173913043,0.01774992567234186,0.034789854317790046,0.061892402153761655,0.013455704232348528,0.026373180295403115,0.0536231884057971,0.012544586166400182,0.024587388886144357,0.12648221343873517,0.02093872988544837,0.0410399105754788,0.07513246580704712,0.013841345658282997,0.027129037490234674,0.05937009850053328,0.012579005292184515,0.02465485037268165,0.15810276679841898,0.0229825919222506,0.04504588016761117,0.08345112625449122,0.013965606147135743,0.027372588048386055,0.061816203120550944,0.012562244105477394,0.024621998446735693
