condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.04265402843601896,0.013944560689728304,0.027331338951867474,0.04265402843601896,0.013944560689728292,0.027331338951867453,0.04265402843601896,0.013944560689728292,0.027331338951867453,0.0947867298578199,0.020213409705143803,0.039618283022081854,0.06633113908918274,0.015322802184477333,0.03003269228157557,0.05726698262243286,0.014460093338394295,0.02834178294325282,0.10900473933649289,0.02150555920804754,0.04215089604777318,0.07100951321562578,0.015462342638749236,0.030306191571948502,0.05924170616113744,0.01446827118307633,0.028357811518829604,0.12322274881516587,0.02268195244279344,0.04445662678787514,0.07497552666090251,0.015543328260421435,0.030464923390426012,0.060534252477380444,0.014462129717387277,0.028345774246079064
discussion,0.023809523809523808,0.023809523809523805,0.046666666666666655,0.023809523809523808,0.023809523809523805,0.046666666666666655,0.023809523809523808,0.023809523809523805,0.046666666666666655,0.14285714285714285,0.054649432548286116,0.10711288779464079,0.09310885289334218,0.037159883500845495,0.07283337166165717,0.0761904761904762,0.03229680944345366,0.06330174650916917,0.16666666666666666,0.058202524647464844,0.11407694830903109,0.1006199213882405,0.037458758726281106,0.07341916710351097,0.07916666666666668,0.0322626761889676,0.0632348453303765,0.21428571428571427,0.06408213992247222,0.12560099424804555,0.11369566186629881,0.03771476540283729,0.07392094018956108,0.08331529581529581,0.032144540447398395,0.06300329927690085
all,0.039525691699604744,0.012273893347986555,0.02405683096205365,0.039525691699604744,0.01227389334798654,0.02405683096205362,0.039525691699604744,0.01227389334798654,0.02405683096205362,0.10276679841897234,0.01912840731777293,0.03749167834283494,0.07077645126220525,0.014172724429022815,0.027778539880884717,0.06040843214756258,0.01317910414228925,0.02583104411888693,0.11857707509881422,0.020365368242437894,0.03991612175517827,0.07592507504665272,0.014301809622481955,0.02803154686006463,0.0625494071146245,0.013183893896086766,0.02584043203633006,0.1383399209486166,0.02174910937973537,0.042628254384281326,0.08140337519302362,0.014392660435571556,0.02820961445372025,0.0643160857587735,0.013173954578272095,0.025820950973413307
