condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.03264925373134328,0.0027142626668427774,0.0053199548270118436,0.03264925373134328,0.002714262666842728,0.005319954827011746,0.03264925373134328,0.002714262666842728,0.005319954827011746,0.10051305970149253,0.004592317814460715,0.009000942916343001,0.06668753433018886,0.0032714828283184542,0.00641210634350417,0.05562810945273631,0.002987626327490674,0.005855747601881721,0.140625,0.005309405357657712,0.010406434501009115,0.07984562590418948,0.003356342768411798,0.006578431826087124,0.061167932658137886,0.002993125925464882,0.005866526813911169,0.177705223880597,0.005838309596314728,0.011443086808776867,0.08925472332894027,0.003384245828698414,0.006633121824248891,0.06376778209037072,0.0029878148989312524,0.005856117201905255
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.029300962745918795,0.002440088757367377,0.004782573964440059,0.029300962745918795,0.0024400887573674613,0.004782573964440224,0.029300962745918795,0.0024400887573674613,0.004782573964440224,0.09020510673922143,0.004144858311235453,0.008123922290021486,0.0598485029735977,0.002950502032758119,0.005782983984205913,0.04992325938328449,0.0026922982961385465,0.005276904660431551,0.1262034323984931,0.0048046651943889985,0.009417143781002437,0.07165718791903819,0.0030324233993826856,0.005943549862790064,0.054894955051924495,0.002699523445716982,0.005291065953605285,0.15948095437421514,0.0052972512446179095,0.010382612439451102,0.08010135069788529,0.003062307416658971,0.006002122536651583,0.05722818116440136,0.0026959417041026766,0.005284045740041246
