condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.02843601895734597,0.01146992169674841,0.022481046525626883,0.02843601895734597,0.01146992169674842,0.022481046525626904,0.02843601895734597,0.01146992169674842,0.022481046525626904,0.07109004739336493,0.017732973397032902,0.03475662785818449,0.04939534563434379,0.013208303755274101,0.025888275360337238,0.04233807266982623,0.012283994030204533,0.024076628299200886,0.0995260663507109,0.02065828883194634,0.04049024611061482,0.05830131553149904,0.013536297546510232,0.026531143191160053,0.045843677123297975,0.012310003121938869,0.02412760611900018,0.13270142180094788,0.023410595327447378,0.04588476684179686,0.06690539270542867,0.01373933656439422,0.02692909966621267,0.04832019370557659,0.012301777462066843,0.024111483825651012
discussion,0.023809523809523808,0.023809523809523805,0.046666666666666655,0.023809523809523808,0.023809523809523805,0.046666666666666655,0.023809523809523808,0.023809523809523805,0.046666666666666655,0.09523809523809523,0.04584379641345078,0.08985384097036353,0.06099062646773454,0.031209835307503066,0.06117127720270601,0.049603174603174593,0.0276894924663427,0.05427140523403169,0.11904761904761904,0.05057601944205113,0.09912899810642022,0.06947174997030649,0.031949188407622786,0.06262040927894066,0.05357142857142857,0.027800237035177675,0.054488464588948245,0.19047619047619047,0.06132580154445567,0.1201985710271331,0.08880105080639324,0.032768718430371255,0.06422668812352766,0.059551559551559545,0.027724028346260417,0.05433909555867042
all,0.02766798418972332,0.010332270844109462,0.020251250854454547,0.02766798418972332,0.010332270844109436,0.020251250854454495,0.02766798418972332,0.010332270844109436,0.020251250854454495,0.07509881422924901,0.016602134870682274,0.03254018434653726,0.05132025391498573,0.012150323445949263,0.023814633954060554,0.043544137022397886,0.011207553935155773,0.021966805712905314,0.10276679841897234,0.019128407317772916,0.037491678342834914,0.06015569595217063,0.012449209492662455,0.02440045060561841,0.0471265449526319,0.011234928460849471,0.022020459783264962,0.1422924901185771,0.022006973766126522,0.043133668581607984,0.07054024503839512,0.012667243818088722,0.024827797883453896,0.050184689221510516,0.011225200398491111,0.022001392781042576
