condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.037914691943127965,0.013179559946043761,0.025831937494245772,0.037914691943127965,0.013179559946043737,0.025831937494245723,0.037914691943127965,0.013179559946043737,0.025831937494245723,0.08530805687203792,0.019276261283512987,0.03778147211568545,0.06290011818799601,0.015043833838070505,0.029485914322618188,0.05545023696682464,0.014132210592528827,0.0276991327613565,0.10900473933649289,0.021505559208047555,0.04215089604777321,0.07040312790298586,0.015262464244653108,0.02991442991952009,0.05845745881290905,0.014141416974337287,0.02771717726970108,0.11848341232227488,0.02230151535815927,0.043710970101992166,0.07300588193179368,0.015315663310126912,0.030018700087848748,0.05928325229273096,0.014137182006269625,0.027708876732288466
discussion,0.023809523809523808,0.023809523809523805,0.046666666666666655,0.023809523809523808,0.023809523809523805,0.046666666666666655,0.023809523809523808,0.023809523809523805,0.046666666666666655,0.11904761904761904,0.05057601944205113,0.09912899810642022,0.07185196573347617,0.03260731268367794,0.06391033286000876,0.05634920634920635,0.028297228145348293,0.055462567164882653,0.14285714285714285,0.054649432548286116,0.10711288779464079,0.07901934658261858,0.033007373503601715,0.06469445206705936,0.058994708994708996,0.028292401830255224,0.05545310758730024,0.16666666666666666,0.058202524647464844,0.11407694830903109,0.08566084528859787,0.033286571987275825,0.06524168109506061,0.061159211159211156,0.02826510369312561,0.05539960323852619
all,0.03557312252964427,0.011667971947923116,0.022869225017929307,0.03557312252964427,0.011667971947923109,0.022869225017929293,0.03557312252964427,0.011667971947923109,0.022869225017929293,0.09090909090909091,0.018109524383854485,0.035494667792354787,0.06438619564613897,0.013640014927212075,0.026734429257335667,0.05559947299077734,0.012666146768179752,0.024825647665632312,0.11462450592885376,0.02006791332243452,0.03933311011197166,0.07183348831620552,0.013833318399847286,0.02711330406370068,0.058546646590124846,0.0126729837471504,0.02483904814441478,0.12648221343873517,0.02093872988544837,0.0410399105754788,0.07510670588825921,0.013893825241102093,0.027231897472560104,0.059594676294281036,0.012668123788550775,0.024829522625559517
