condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004664179104477612,0.00032976879912632835,0.0006463468462876036,0.00026374294626200037,0.00018771874960989935,0.00036792874923540273,0.00019434079601990048,0.00014012605258399783,0.00027464706306463575,0.0023320895522388058,0.0007366969497323882,0.001443926021475481,0.0008536303200849368,0.0002809153543513847,0.0005505940945287139,0.00043041859156597964,0.00016397200157351977,0.0003213851230840987,0.0025652985074626866,0.0007725639684721373,0.0015142253782053892,0.0009133220236320019,0.00028714589336866755,0.0005628059510025884,0.00044707637408197105,0.00016480580725866984,0.00032301938222699286
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030612244897959183,0.0077900801269950755,0.015268557048910348,0.009694819662257301,0.0024736691695104026,0.004848391572240389,0.0038816002591512792,0.0010036697086734398,0.001967192628999942,0.07755102040816327,0.012095129040518017,0.023706452919415314,0.02205180629296476,0.0034624162641768274,0.006786335877786581,0.0075316208734576085,0.0012310563427420705,0.0024128704317744583
all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004185851820845542,0.0002959534389775869,0.0005800687403960704,0.00023669521841177427,0.00016846952187781844,0.00033020026288052416,0.0001744104925352309,0.00012575704275852306,0.0002464838038067052,0.005232314776056928,0.0010438308916297812,0.0020459085475943713,0.0017603240784910604,0.0003595822747253189,0.000704781258461625,0.0007843489007155814,0.00018016381367218432,0.0003531210747974813,0.010255336961071579,0.0014576690441461787,0.00285703132652651,0.0030811448139151853,0.0004481833022074875,0.0008784392723266755,0.001173620284650004,0.0001968547694354195,0.0003858353480934222
