condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.037914691943127965,0.013179559946043761,0.025831937494245772,0.037914691943127965,0.013179559946043737,0.025831937494245723,0.037914691943127965,0.013179559946043737,0.025831937494245723,0.09004739336492891,0.01975310226546832,0.03871608044031791,0.06506209093283559,0.015160246074472694,0.02971408230596648,0.056793048973143766,0.014177498142043905,0.02778789635840605,0.11374407582938388,0.021909593576363816,0.042942803409673075,0.07275819216594057,0.01538793097472893,0.030160344710468703,0.05999774317309862,0.01419101506984014,0.027814389536886676,0.11848341232227488,0.02230151535815927,0.043710970101992166,0.07403894171298948,0.01541237368767446,0.030208252427841944,0.060392687880839534,0.014188559329024361,0.027809576284887748
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.03162055335968379,0.011023188755389646,0.021605449960563707,0.03162055335968379,0.011023188755389665,0.021605449960563745,0.03162055335968379,0.011023188755389665,0.021605449960563745,0.07509881422924901,0.016602134870682274,0.03254018434653726,0.054261269513155366,0.012730205152286029,0.024951202098480615,0.04736495388669302,0.01189397976778395,0.02331220034485654,0.09486166007905138,0.018458762010081647,0.03617917353976003,0.060679757102819996,0.012941205146402577,0.02536476208694905,0.05003764351590438,0.011913810598977925,0.023351068773996734,0.09881422924901186,0.01879821603184473,0.03684450342241567,0.06174789210055644,0.01296538872623872,0.02541216190342789,0.050367024280067764,0.01191287411242622,0.02334923326035539
