condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.037914691943127965,0.013179559946043761,0.025831937494245772,0.037914691943127965,0.013179559946043735,0.02583193749424572,0.037914691943127965,0.013179559946043735,0.02583193749424572,0.08056872037914692,0.018781627506386067,0.03681198991251669,0.05896086250520207,0.014656781883862218,0.02872729249236995,0.05189573459715639,0.013844230499053069,0.027134691778144013,0.12322274881516587,0.022681952442793436,0.04445662678787513,0.07294340703162508,0.015100379861751195,0.029596744529032343,0.057786052809749494,0.013878614692783463,0.02720208479785559,0.13270142180094788,0.023410595327447378,0.04588476684179686,0.0754689411049166,0.015147330134435163,0.02968876706349292,0.0585455618630974,0.013873913371727326,0.02719287020858556
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.03162055335968379,0.011023188755389646,0.021605449960563707,0.03162055335968379,0.011023188755389665,0.021605449960563745,0.03162055335968379,0.011023188755389665,0.021605449960563745,0.06719367588932806,0.015771015937146086,0.03091119123680633,0.04917289323556378,0.012296718619885776,0.02410156849497612,0.043280632411067194,0.011605341775258581,0.02274646987950682,0.10276679841897234,0.019128407317772933,0.03749167834283495,0.060834224836651726,0.012704197965609895,0.024900228012595393,0.048193111236589495,0.011649094025747157,0.022832224290464425,0.11067193675889328,0.019762845849802375,0.038735177865612654,0.06294050028908064,0.012751061121776529,0.024992079798681996,0.048826535783057526,0.011647285337162694,0.02282867926083888
