condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.04265402843601896,0.013944560689728304,0.027331338951867474,0.04265402843601896,0.013944560689728292,0.027331338951867453,0.04265402843601896,0.013944560689728292,0.027331338951867453,0.0995260663507109,0.02065828883194632,0.04049024611061479,0.06837226021749267,0.015416387862479064,0.030216120210458965,0.05845181674565561,0.014486266700565518,0.028393082733108414,0.11374407582938388,0.021909593576363837,0.042942803409673116,0.07294222745400826,0.015543141631695194,0.03046455759812258,0.06031369893929136,0.014490161166514566,0.028400715886368548,0.12322274881516587,0.02268195244279344,0.04445662678787514,0.07558623641752608,0.01559587245963532,0.030567910020885224,0.061175396483453354,0.01448583069890468,0.02839222816985317
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.03557312252964427,0.011667971947923116,0.022869225017929307,0.03557312252964427,0.011667971947923109,0.022869225017929293,0.03557312252964427,0.011667971947923109,0.022869225017929293,0.08300395256916997,0.01737932273817249,0.03406347256681808,0.057021924529213244,0.012951600091357585,0.025385136179060866,0.04874835309617918,0.012154126819180334,0.023822088565593456,0.09486166007905138,0.018458762010081647,0.03617917353976003,0.060833241078244046,0.013070044720569583,0.02561728765231638,0.05030114812723509,0.012162348250545853,0.02383820257106987,0.10276679841897234,0.019128407317772933,0.03749167834283495,0.06303832365256126,0.013121851789815722,0.025718829508038814,0.051019797067227896,0.012161127523138705,0.023835809945351862
