condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004664179104477612,0.00032976879912632835,0.0006463468462876036,0.00026374294626200037,0.00018771874960989935,0.00036792874923540273,0.00019434079601990048,0.00014012605258399783,0.00027464706306463575,0.0018656716417910447,0.0006590757910318651,0.0012917885504224555,0.0007160149231675234,0.00026360713452787887,0.0005166699836746426,0.00038118558990760484,0.000160251530638064,0.0003140930000506054,0.0020988805970149254,0.0006989737716056859,0.0013699885923471444,0.0007757066267145885,0.0002702441145050087,0.0005296784644298171,0.0003978433724235963,0.00016110578041288835,0.00031576732960926116
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004185851820845542,0.0002959534389775869,0.0005800687403960704,0.00023669521841177427,0.00016846952187781844,0.00033020026288052416,0.0001744104925352309,0.00012575704275852306,0.0002464838038067052,0.0016743407283382169,0.0005915349603075092,0.001159408522202718,0.0006425851801051361,0.00023659138057248517,0.00046371910592207094,0.0003420937232155314,0.00014382520855801283,0.0002818974087737051,0.0018836333193804938,0.0006273518021250818,0.0012296095321651602,0.0006961552983156458,0.00024255066852065944,0.0004753993103004925,0.0003570431940042656,0.00014459265593587788,0.00028340160563432065
