condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004739336492890996,0.004739336492890996,0.00928909952606635,0.0013699754801795635,0.0013699754801795635,0.0026851519411519443,0.00047393364928909954,0.00047393364928909965,0.0009289099526066353,0.014218009478672985,0.008169588695462903,0.01601239384310729,0.003851461204204947,0.002218546832020807,0.004348351790760782,0.0012009909521757864,0.0007024856854201274,0.0013768719434234498
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003952569169960474,0.003952569169960481,0.007747035573122543,0.0011425487206240628,0.0011425487206240628,0.002239395492423163,0.0003952569169960474,0.0003952569169960474,0.000774703557312253,0.011857707509881422,0.006818829637770309,0.013364906090029806,0.0032120881979732954,0.0018517215099405182,0.0036293741594834155,0.001001616960114984,0.0005863122556166282,0.0011491720210085913
