condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.03317535545023697,0.012358677545407879,0.024223007988999443,0.03317535545023697,0.012358677545407868,0.024223007988999422,0.03317535545023697,0.012358677545407868,0.024223007988999422,0.07109004739336493,0.017732973397032902,0.03475662785818449,0.05114449372168286,0.013682336386841873,0.026817379318210068,0.04470774091627172,0.01291667427884047,0.02531668158652732,0.10426540284360189,0.02108871607704926,0.04133388351101655,0.06175536117239817,0.014060900044398835,0.027559364087021716,0.04900887685247875,0.01294682387108184,0.025375774787320407,0.13270142180094788,0.023410595327447378,0.04588476684179686,0.0691539258629104,0.014222485414015162,0.027876071411469718,0.051143629935099126,0.012937398616446034,0.025357301288234227
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.02766798418972332,0.010332270844109462,0.020251250854454547,0.02766798418972332,0.010332270844109436,0.020251250854454495,0.02766798418972332,0.010332270844109436,0.020251250854454495,0.05928853754940711,0.014876929895436366,0.029158782595055277,0.042654103459585306,0.011469274978275558,0.022479778957420093,0.037285902503293805,0.010819018686611535,0.021205276625758607,0.08695652173913043,0.017749925672341876,0.034789854317790074,0.05150348303310677,0.011811081984602338,0.02314972068982058,0.04087301587301587,0.010854241583308362,0.02127431350328439,0.11067193675889328,0.019762845849802375,0.038735177865612654,0.057673827498316566,0.011967038970337362,0.02345539638186123,0.04265338306840283,0.010851841715508119,0.021269609762395912
