condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004664179104477612,0.00032976879912632835,0.0006463468462876036,0.00026374294626200037,0.00018771874960989935,0.00036792874923540273,0.00019434079601990048,0.00014012605258399783,0.00027464706306463575,0.0018656716417910447,0.0006590757910318651,0.0012917885504224555,0.0007160149231675234,0.00026360713452787887,0.0005166699836746426,0.00038118558990760484,0.000160251530638064,0.0003140930000506054,0.0020988805970149254,0.0006989737716056859,0.0013699885923471444,0.0007757066267145885,0.0002702441145050087,0.0005296784644298171,0.0003978433724235963,0.00016110578041288835,0.00031576732960926116
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026530612244897958,0.007267421612179868,0.01424414635987254,0.008353519289253214,0.002293645306066389,0.004495544799890122,0.0033147068351149986,0.0009210007158616867,0.001805161403088906,0.07551020408163266,0.011948116635150679,0.02341830860489533,0.021175139080566695,0.0033725972288052766,0.006610290568458342,0.007066768265747858,0.0011714767016576932,0.0022960943352490788
all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004185851820845542,0.0002959534389775869,0.0005800687403960704,0.00023669521841177427,0.00016846952187781844,0.00033020026288052416,0.0001744104925352309,0.00012575704275852306,0.0002464838038067052,0.004395144411887819,0.0009570892913164041,0.001875895010980152,0.0014992667313261645,0.00033513733842860106,0.0006568691833200581,0.0006820280784282459,0.00017249195959257197,0.00033808424080144107,0.009627459187944746,0.001412789692711514,0.0027690677977145676,0.002867737163003314,0.00043156053119848244,0.0008458586411490256,0.0010817640919147825,0.00019017825171942403,0.0003727493733700711
